tweet_id	text	label
591903220357730304	RT @Hadithoftheday: Do your bit for the victims of the devastating earthquake in Nepal, donate via Human Appeal who're on the scene now: ht‰Û_	relevant
592589555812864003	RT @ANI_news: Indians evacuated from #NepalEarthquake reach Ahmedabad airport._ https://t.co/qDdVSrdZ0w http://t.co/NpngkUg9Bu	relevant
592825666262929408	Free call to Nepal via Skype! Thanks Skype! http://t.co/KTgRbJtQNF	relevant
591903276750114816	To #Kathmandu and back: ‰Û÷Even now when I stand up, it feels as though the earth is moving‰Ûª. http://t.co/MBybCWve5o #NepalQuake	relevant
591902696375877632	My thoughts and prayers to everyone in Nepal... http://t.co/X71NzSFThH	relevant
591902696895950848	RT @john: Prayers For Nepal http://t.co/tVwARmkdTG	relevant
592649617826783233	Ganesh Giri's wife &amp; 5month old child is stuck in debris in #NepalEarthquake neither can I forget his face nor stop my tears.	relevant
591902697395064832	@sweetasingh LIVE from Airport Kathmandu 19:03hrs in conversation with AOK in Studios http://t.co/r9dGNR8kBl	relevant
591903404542267392	Wow... praying for the people affected by the massive earthquake in #Nepal ‡_Á4‡_äC	relevant
591902697487405056	RT @ndtv: Thousands flee Kathmandu as India steps up relief efforts in Nepal: 10 developments http://t.co/2PSUwTRqv5 http://t.co/0yVpcvhjED	relevant
591903384933916672	RT @kathmandupost: "I survived by drinking muddy water," says man rescued after 98 hours. #NepalQuake  http://t.co/QRxVOkcbam http://t.co/F‰Û_	relevant
591903242981773312	RT @SuvalagnaC: CNN missed out India in list of nations helping Nepal. &amp; India is pouring heart! Height of Presstitution! #ShameOnCNN http:‰Û_	relevant
592068860846559232	wholeheartedly, we support Ϭ#prayfornepal http://t.co/OO4O59lFW6	relevant
591902698229739520	think of Nepal over 5000 daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is	relevant
591903391376220161	RT @RailMinIndia: 722 zero value tickets provided to the needy by NER #NepalEarthquake ! Zero value tickets for those who need it at T3- MR‰Û_	relevant
592071343614590977	So sad for those in Nepal	relevant
